continent,continentCode,country,countryCode,primaryHEX,primaryRGB,primaryHSL,primaryCSS,secondaryHEX,secondaryRGB,secondaryHSL,secondaryCSS,secondaryNotes
Asia,AS,Afghanistan,AFG,#000000/#be0000/#090/#ffffff,"rgb(0,0,0)/rgb(190,0,0)/rgb(0,153,0)/rgb(255,255,255)","hsl(0,0%,0%)/hsl(0,100%,37%)/hsl(120,100%,30%)/hsl(0,0%,100%)",black/firebrick/green/white,#035AB8,"rgb(3,90,184)","hsl(211,97%,37%)",darkcyan,Color used by the Afghanistan national cricket team.
Europe,EU,Aland Islands,ALA,#0052a6/#ffcf00/#d30731,"rgb(0,82,166)/rgb(255,207,0)/rgb(211,7,49)","hsl(210,100%,33%)/hsl(49,100%,50%)/hsl(348,94%,43%)",teal/gold/crimson,,,,,
Europe,EU,Albania,ALB,#e41e20/#000000,"rgb(228,30,32)/rgb(0,0,0)","hsl(359,79%,51%)/hsl(0,0%,0%)",crimson/black,,,,,
Africa,AF,Algeria,DZA,#006230/#d30731/#ffffff,"rgb(0,98,48)/rgb(211,7,49)/rgb(255,255,255)","hsl(149,100%,19%)/hsl(348,94%,43%)/hsl(0,0%,100%)",darkgreen/crimson/white,,,,,
Oceania,OC,American Samoa,ASM,#006/#be071c/#ffffff,"rgb(0,0,102)/rgb(190,7,28)/rgb(255,255,255)","hsl(240,100%,20%)/hsl(353,93%,39%)/hsl(0,0%,100%)",navy/firebrick/white,,,,,
Europe,EU,Andorra,AND,#0010a9/#fee000/#d10737,"rgb(0,16,169)/rgb(254,224,0)/rgb(209,7,55)","hsl(234,100%,33%)/hsl(53,100%,50%)/hsl(346,94%,42%)",darkblue/gold/crimson,,,,,
Africa,AF,Angola,AGO,#cd022b/#000000/#FC0,"rgb(205,2,43)/rgb(0,0,0)/rgb(255,204,0)","hsl(348,98%,41%)/hsl(0,0%,0%)/hsl(48,100%,50%)",crimson/black/gold,,,,,
North America,NA,Anguilla,AIA,#ff9900/#00ccff/#ffffff,"rgb(255,153,0)/rgb(0,204,0)/rgb(255,255,255)","hsl(36,100%,50%)/hsl(192,100%,50%)/hsl(0,0%,100%)",orange/deepskyblue/white,,,,,
Antarctica,AN,Antarctica,ATA,#01275e/#fffffffff,"rgb(1,39,94)/rgb(255,255,255)","hsl(215,98%,19%)/hsl(0,0%,100%)",midnightblue/white,#377ecf/#fffffffff,"rgb(55,126,207)/rgb(255,255,255)","hsl(212,61%,51%)/hsl(0,0%,100%)",royalblue/white,Colors from the Graham Bartram design.
Antarctica,AN,Australian Antarctic Claim,ATAAUS,#001C69/#ffffff,"rgb(0,28,105)/rgb(255,255,255)","hsl(224,100%,21%)/hsl(0,0%,100%)",midnightblue/white,#92D4F7/#ffffff,"rgb(146,212,247)/rgb(255,255,255)","hsl(201,86%,77%)/hsl(0,0%,100%)",lightskyblue/white,Colors from the unofficially proposed flag for the territory.
Antarctica,AN,Argentinian Antarctic Claim,ATAARG,#fd9730/#1983dd/#ffffff,"rgb(253,151,48)/rgb(25,131,221)/rgb(255,255,255)","hsl(30,98%,59%)/hsl(208,80%,48%)/hsl(0,0%,100%)",coral/dodgerblue/white,,,,,
Antarctica,AN,Chilean Antarctic Claim,ATACHL,#00c/#fdcb00/#ffffff,"rgb(0,0,204/rgb(253,203,0)/rgb(255,255,255)","hsl(240,100%,40%)/hsl(48,100%,50%)/hsl(0,0%,100%)",mediumblue/gold/white,,,,,
Antarctica,AN,French Antarctic Claim,ATAFRA,#001e96/#ffffff,"rgb(0,30,150)/rgb(255,255,255)","hsl(228,100%,29%)/hsl(0,0%,100%)",darkblue/white,,,,,
Antarctica,AN,New Zealands Antarctic Claim,ATANZL,#001c69/#c9072a/#ffffff,"rgb(0,28,105)/rgb(201,7,42)/rgb(255,255,255)","hsl(224,100%,21%)/hsl(349,93%,41%)/hsl(0,0%,100%)",midnightblue/crimson/white,#6699E5/#ffffff/#CE142B,"rgb(102,153,229)/rgb(255,255,255)/rgb(206,20,43)","hsl(216,71%,65%)/hsl(0,0%,100%)/hsl(353,82%,44%)",cornflowerblue/white/crimson,Colors from the unofficial flag of the Ross Dependancy.
Antarctica,AN,Norwegian Antarctic Claim,ATANOR,#f02729/#ffffff/#002468,"rgb(240,39,41)/rgb(255,255,255)/rgb(0,36,104)","hsl(359,87%,55%)/hsl(0,0%,100%)/hsl(219,100%,20%)",crimson/white/midnightblue,,,,,
Antarctica,AN,British Antarctic Claim,ATAGBR,#ffffff/#df0807/#001c69/#fff700,"rgb(255,255,255)/rgb(223,8,7)/rgb(0,28,105)/rgb(255,247,0)","hsl(0,0%,100%)/hsl(0,94%,45%)/hsl(224,100%,21%)/hsl(58,100%,50%)",white/red/midnightblue/yellow,,,,,
North America,NA,Antigua and Barbuda,ATG,#cf0921/#ffffff/#0072c7/#000000/#fcd20f,"rgb(207,9,33)/rgb(255,255,255)/rgb(0,114,199)/rgb(0,0,0)/rgb(252,210,15)","hsl(353,92%,42%)/hsl(0,0%,100%)/hsl(206,100%,39%)/hsl(0,0%,0%)/hsl(49,98%,52%)",crimson/white/darkcyan/black/gold,,,,,
South America,SA,Argentina,ARG,#5eacff/#ffffff/#fac519,"rgb(94,172,255)/rgb(255,255,255)/rgb(250,197,25)","hsl(211,100%,68%)/hsl(0,0%,100%)/hsl(46,96%,54%)",cornflowerblue/white/gold,#006A93/#000000,"rgb(0,106,147)/rgb(0,0,0)","hsl(197,100%,29%)/hsl(0,0%,0%)",teal/black,Colors used in sports.
Asia,AS,Armenia,ARM,#da000a/#0030a1/#f2a900,"rgb(218,0,10)/rgb(0,48,161)/rgb(242,169,0)","hsl(357,100%,43%)/hsl(222,100%,32%)/hsl(42,100%,48%)",red/darkblue/orange,,,,,
North America,NA,Aruba,ABW,#ffd200/#3f90df/#ffffff/#f0303e,"rgb(255,210,0)/rgb(63,144,223)/rgb(255,255,255)/rgb(240,48,62)","hsl(49,100%,50%)/hsl(210,71%,56%)/hsl(0,0%,100%)/hsl(356,87%,57%)",gold/royalblue/white/crimson,#ffffff/#ae1c28/#21468b,"rgb(255,255,255)/rgb(174,28,40)/rgb(33,70,139)","hsl(0,0%,100%)/hsl(355,72%,40%)/hsl(219,62%,34%)",white/firebrick/darkslateblue,Colors used in the govenors standard.
Oceania,OC,Australia,AUS,#23b14d/#ffcc33,"rgb(35,177,77)/rgb(255,204,51)","hsl(138,67%,42%)/hsl(45,100%,60%)",seagreen/gold,#001c69/#ffffff,"rgb(0,28,105)/rgb(255,255,255)","hsl(224,100%,21%)/hsl(0,0%,100%)",midnightblue/white,Colors from the Australian flag.
Europe,EU,Austria,AUT,#ee2536/#ffffff,"rgb(238,37,54)/rgb(255,255,255)","hsl(355,86%,54%)/hsl(0,0%,100%)",crimson/white,,,,,
Asia,AS,Azerbaijan,AZE,#00bbe5/#ee2536/#3d9d32,"rgb(0,187,229)/rgb(238,37,54)/rgb(61,157,50)","hsl(191,100%,45%)/hsl(355,86%,54%)/hsl(114,52%,41%)",deepskyblue/crimson/forestgreen,,,,,
North America,NA,Bahamas,BHS,#00778c/#ffc828/#000000,"rgb(0,119,140)/rgb(255,200,40)/rgb(0,0,0)","hsl(189,100%,28%)/hsl(45,100%,58%)/hsl(0,0%,0%)",teal/gold/black,,,,,
Asia,AS,Bahrain,BHR,#cf0921/#ffffff,"rgb(207,9,33)/rgb(255,255,255)","hsl(353,92%,42%)/hsl(0,0%,100%)",crimson/white,,,,,
Asia,AS,Bangladesh,BGD,#f42a41/#006a4e/#ff9900,"rgb(244,42,65)/rgb(0,106,78)/rgb(255,153,0)","hsl(353,90%,56%)/hsl(164,100%,21%)/hsl(36,100%,50%)",crimson/darkslategray/orange,#ffffff,"rgb(255,255,255)","hsl(0,0%,100%)",white,Color used in football.
North America,NA,Barbados,BRB,#002180/#ffc821/#000000,"rgb(0,33,128)/rgb(255,200,33)/rgb(0,0,0)","hsl(225,100%,25%)/hsl(45,100%,57%)/hsl(0,0%,0%)",midnightblue/gold/black,,,,,
Europe,EU,Belarus,BLR,#cf0f1a/#ffffff/#007d2d,"rgb(207,15,26)/rgb(255,255,255)/rgb(0,125,45)","hsl(357,87%,44%)/hsl(0,0%,100%)/hsl(142,100%,25%)",firebrick/white/forestgreen,#e2c226,"rgb(226,194,38)","hsl(50,76%,52%)",goldenrod,Color of the national insignia often used on the flag.
Europe,EU,Belgium,BEL,#000000/#fae140/#ee2536,"rgb(0,0,0)/rgb(250,225,64)/rgb(238,37,54)","hsl(0,0%,0%)/hsl(52,95%,62%)/hsl(355,86%,54%)",black/gold/crimson,#96e0f9/#fae140/#000000,"rgb(150,224,249)/rgb(250,225,64)/rgb(0,0,0)","hsl(195,89%,78%)/hsl(52,95%,62%)/hsl(0,0%,0%)",lightskyblue/gold/black,Colors used in cycling.
North America,NA,Belize,BLZ,#0f0f97/#da0712/#ffffff,"rgb(15,15,151)/rgb(218,7,18)/rgb(255,255,255)","hsl(240,82%,33%)/hsl(357,94%,44%)/hsl(0,0%,100%)",darkblue/red/white,#009dc4,"rgb(0,157,196)","hsl(192,100%,38%)",lightseagreen,Color used in sports.
Africa,AF,Benin,BEN,#008651/#fdd116/#e7112d,"rgb(0,134,81)/rgb(253,209,22)/rgb(231,17,45)","hsl(156,100%,26%)/hsl(49,98%,54%)/hsl(352,86%,49%)",seagreen/gold/crimson,,,,,
